K05093	K05449
K02786	K02787
K04456	K06625
K16157	K16255
K01608	K11517
K01485	K10213
K02105	K02235
K00892	K02428
K01904	K13064
K04692	K17106
K14028	K16162
K02446	K16305
K00380	K17221
K04364	K07371
K02779	K15779
K03025	K08041
K02999	K11265
K02085	K12076
K01514	K07816
K00087	K16838
K13333	K13519
K02580	K10048
K02328	K04802
K04674	K10162
K07424	K07434
K01904	K12468
K01637	K14450
K00850	K16371
K12679	K13790
K04409	K05744
K13810	K16370
K02517	K02527
K11160	K14075
K01177	K16146
K00317	K15228
K01860	K03381
K04188	K05508
K04371	K05425
K04537	K07843
K00845	K15778
K04735	K13537
K14290	K14321
K01519	K13809
K03011	K08047
K00249	K01965
K00101	K00102
K00296	K13241
K00129	K13954
K05701	K15842
K01941	K14541
K07424	K14674
K04428	K04432
K13711	K13712
K02340	K09887
K01080	K12349
K01964	K14138
K01115	K05855
K04707	K05061
K00637	K09828
K04182	K05506
K00743	K03877
K00459	K02567
K02677	K05742
K03783	K11121
K01494	K02345
K00170	K04021
K01592	K01668
K04368	K04370
K01791	K02472
K04264	K04634
K04564	K17847
K01058	K16794
K00011	K02773
K00201	K01070
K00170	K01964
K00081	K07408
K01240	K03784
K04361	K11981
K01638	K02160
K00012	K00696
K00278	K00609
K01657	K06208
K00362	K02567
K00944	K03052
K04441	K12094
K00501	K00815
K09029	K09047
K10618	K10619
K01501	K15876
K00276	K00316
K04852	K12361
K04662	K16797
K05232	K09047
K00892	K08723
K00589	K13542
K04575	K07887
K01571	K03778
K01587	K13713
K08743	K13512
K01622	K13831
K02185	K02354
K05209	K13240
K00291	K14157
K00016	K00028
K00873	K01573
K00659	K01594
K00171	K14138
K00230	K03404
K00006	K01517
K00234	K01902
K01769	K03002
K01535	K15986
K07298	K12358
K00956	K12529
K00022	K01034
K14558	K14569
K06928	K10807
K00273	K00824
K01202	K04714
K00509	K07415
K00149	K01895
K04393	K05734
K00117	K01053
K06095	K06786
K01848	K01899
K00767	K00952
K00599	K05604
K02649	K04537
K00492	K15242
K00692	K15922
K00668	K10780
K04699	K11223
K01655	K04072
K01115	K13515
K04850	K05032
K00548	K08968
K03715	K15728
K01521	K17717
K00832	K07253
K04850	K12361
K00524	K01553
K02125	K06019
K04157	K04857
K00756	K01081
K00220	K00815
K04147	K04547
K07434	K12344
K00139	K00245
K01510	K03504
K01768	K03047
K00106	K00769
K13034	K17218
K01509	K03054
K00615	K11645
K04371	K05869
K04447	K10322
K13517	K13644
K00830	K01620
K14434	K14459
K07437	K11147
K03525	K08069
K05056	K05697
K05815	K05816
K05139	K05445
K00838	K01450
K01587	K01589
K02580	K14242
K00270	K17748
K01768	K03008
K07206	K07207
K04667	K13375
K01964	K13788
K04180	K05512
K01429	K06035
K12320	K14642
K02790	K15778
K00312	K02375
K00951	K01514
K02259	K07775
K00381	K17993
K10764	K17229
K00604	K11787
K12256	K14085
K04527	K05448
K04345	K04850
K00364	K03787
K01519	K03011
K14621	K17687
K00276	K00545
K04536	K05000
K01934	K08289
K00648	K11533
K04392	K05730
K00981	K01004
K00189	K09478
K11156	K13369
K04192	K14625
K05087	K05466
K07413	K07425
K11600	K12585
K07831	K17631
K10535	K10946
K07297	K07359
K12972	K14272
K04345	K09048
K04363	K13305
K12448	K12449
K03175	K14381
K00527	K02321
K01740	K10150
K05092	K09438
K04371	K04543
K00527	K14159
K01519	K01937
K00680	K01076
K09458	K13935
K02087	K10318
K00525	K01139
K11787	K11808
K03027	K08047
K01202	K12353
K04628	K04714
K00689	K15922
K08353	K11180
K00401	K10946
K09836	K17841
K05189	K06027
K02583	K12464
K04175	K10033
K02649	K16172
K05860	K07828
K04410	K07365
K00385	K00395
K17069	K17219
K01114	K16860
K06256	K16848
K05430	K09035
K02833	K04365
K00015	K00865
K00312	K02842
K08723	K13294
K11358	K14187
K00156	K01512
K00487	K05708
K01486	K13479
K06786	K18051
K04456	K09408
K00432	K01460
K02210	K02603
K05717	K13968
K00793	K00861
K00873	K03020
K00305	K00643
K04364	K05098
K06269	K07190
K00509	K01832
K03083	K16799
K00611	K01581
K12305	K13298
K06631	K10318
K06606	K16043
K04366	K18051
K04382	K04857
K00951	K03059
K08846	K11859
K01067	K01963
K00551	K13519
K01357	K01691
K01637	K14272
K05413	K06470
K12126	K14494
K00816	K14263
K00730	K07151
K05873	K14642
K00942	K12406
K00787	K00795
K08046	K14721
K01824	K09828
K01058	K16860
K13034	K16951
K06479	K06582
K16906	K16907
K01004	K16342
K01937	K03016
K04191	K05506
K05059	K11218
K00560	K00605
K12354	K17108
K13257	K13267
K06982	K09722
K06053	K08891
K12251	K13746
K04357	K05089
K00994	K16794
K04175	K05513
K00873	K03000
K12929	K17982
K08295	K16319
K05704	K06590
K13534	K14674
K03043	K06928
K01229	K12407
K08043	K13756
K03026	K11029
K09018	K09020
K00381	K08352
K00123	K00198
K07860	K08732
K04010	K14202
K05710	K16243
K04862	K12326
K00570	K16817
K04351	K08045
K00015	K00042
K00381	K00394
K03517	K06989
K04166	K04637
K02089	K06626
K03504	K16904
K01681	K15233
K04548	K04615
K02833	K04448
K01483	K16856
K03176	K17447
K07594	K08030
K00892	K10213
K03456	K12044
K02203	K10150
K04675	K16790
K04365	K04369
K00844	K11532
K01384	K02329
K14187	K15849
K11358	K17950
K04548	K04849
K04034	K04035
K00079	K17689
K00847	K00850
K00694	K00696
K05091	K17386
K08044	K13762
K01075	K04109
K14621	K16794
K04183	K14624
K11218	K11225
K12323	K13760
K08262	K17863
K01692	K11410
K01110	K04456
K01510	K02428
K11220	K17107
K04451	K04735
K01507	K02126
K05316	K12363
K04441	K17332
K07372	K07376
K00940	K14642
K07703	K07792
K04176	K05511
K01850	K15849
K01134	K13444
K00170	K11181
K00376	K02588
K15024	K15037
K00364	K13755
K15728	K17717
K04043	K10160
K05062	K07198
K01048	K16817
K00826	K01649
K02322	K14641
K03160	K03175
K00512	K05295
K01031	K07508
K14181	K15803
K01643	K01958
K01834	K01837
K11157	K15734
K00526	K00943
K08660	K12254
K00129	K01918
K04105	K05550
K09052	K15309
K00948	K01808
K11440	K17755
K04448	K07827
K07828	K08773
K07437	K13980
K16011	K16881
K04344	K04347
K05710	K14333
K05547	K08524
K00012	K12449
K00668	K03921
K04416	K07861
K16968	K17725
K00155	K01913
K04345	K05725
K01113	K01495
K04698	K05066
K12116	K12124
K00510	K08101
K04448	K09029
K01592	K03334
K01084	K02779
K07430	K10223
K00512	K07430
K00627	K11262
K00769	K12304
K04440	K04446
K06928	K11265
K05165	K05490
K04539	K05002
K04635	K16343
K08738	K09565
K12188	K12192
K02428	K03003
K00705	K05343
K01615	K07514
K04354	K04872
K04712	K04714
K04146	K04534
K08729	K13519
K06636	K06669
K05133	K05697
K00161	K00873
K00681	K11140
K13788	K15230
K02187	K08738
K03021	K12319
K00502	K01667
K05145	K05471
K01768	K03013
K01518	K03040
K00552	K00827
K10110	K10111
K00203	K03518
K02777	K02819
K02120	K11726
K00149	K00865
K04121	K14036
K00934	K01585
K08685	K14028
K00368	K02575
K04191	K10032
K02744	K10984
